type,ocv,scc,vmax,imax,pmp,Vmax,ocvt,otvmp,tcisc,weig,deph,widt,leng,icost,ef,area,ncel,tol,dur,tcell,temp,TEMP,tier,NOCT,Inop
LR5-72HTH,101,52.21,14.2,44.06,13.17,580,1500,-0.0023,-0.0029,0.05,24.6,30,1134,1,17.22,22.5,108,3,30,1,2,-40,85,45,30
LR5-72HTH,102,52.36,14.27,44.21,13.24,585,1500,-0.0023,-0.0029,0.05,24.6,30,1134,1,17.22,22.6,108,3,30,1,2,-40,85,45,30
LR5-54HPH,103,37,13.83,31,13.07,405,1500,-0.00265,-0.0034,0.05,20.8,30,1134,1,17.22,20.7,108,3,30,1,2,-40,85,45,30
LR5-54HPH,104,37.25,13.88,31.25,13.12,410,1500,-0.00265,-0.0034,0.05,20.8,30,1134,1,17.22,21,108,3,30,1,2,-40,85,45,30
LR5-54HPH,105,37.5,13.94,31.49,13.18,415,1500,-0.00265,-0.0034,0.05,20.8,30,1134,1,17.22,21.3,108,3,30,1,2,-40,85,45,30
LR5-54HPH,106,37.75,14.01,31.73,13.24,420,1500,-0.00265,-0.0034,0.05,20.8,30,1134,1,17.22,21.5,108,3,30,1,2,-40,85,45,30
LR5-54HPH,107,37.96,14.08,31.94,13.31,425,1500,-0.00265,-0.0034,0.05,20.8,30,1134,1,17.22,21.8,108,3,30,1,2,-40,85,45,30
LR7-72HTDR,108,52.51,14.55,44.19,13.58,600,1500,-0.0023,-0.0028,0.05,33.5,30,1134,1,23.82,22.2,144,3,30,1,2,-40,85,45,30
LR7-72HTDR,109,52.66,14.62,44.33,13.65,605,1500,-0.0023,-0.0028,0.05,33.5,30,1134,1,23.82,22.4,144,3,30,1,2,-40,85,45,30
LR7-72HTDR,110,52.81,14.69,44.48,13.72,610,1500,-0.0023,-0.0028,0.05,33.5,30,1134,1,23.82,22.6,144,3,30,1,2,-40,85,45,30
LR7-72HTDR,111,52.96,14.75,44.63,13.78,615,1500,-0.0023,-0.0028,0.05,33.5,30,1134,1,23.82,22.8,144,3,30,1,2,-40,85,45,30
LR7-72HTDR,112,53.11,14.82,44.78,13.85,620,1500,-0.0023,-0.0028,0.05,33.5,30,1134,1,23.82,23,144,3,30,1,2,-40,85,45,30
LR7-72HTDR,113,53.26,14.9,44.93,13.92,625,1500,-0.0023,-0.0028,0.05,33.5,30,1134,1,23.82,23.1,144,3,30,1,2,-40,85,45,30
LR7-54HTHF,114,39.15,14.79,32.98,13.8,455,1500,-0.0023,-0.0028,0.05,21.6,30,1134,1,18,22.3,108,3,30,1,2,-40,85,45,25
LR7-54HTHF,115,39.35,14.86,33.19,13.86,460,1500,-0.0023,-0.0028,0.05,21.6,30,1134,1,18,22.5,108,3,30,1,2,-40,85,45,25
LR7-54HTHF,116,39.55,14.93,33.39,13.93,465,1500,-0.0023,-0.0028,0.05,21.6,30,1134,1,18,22.8,108,3,30,1,2,-40,85,45,25
LR7-54HTHF,117,39.75,15,33.59,13.99,470,1500,-0.0023,-0.0028,0.05,21.6,30,1134,1,18,23,108,3,30,1,2,-40,85,45,25
LR7-54HTHF,118,39.95,15.07,33.79,14.06,475,1500,-0.0023,-0.0028,0.05,21.6,30,1134,1,18,23.3,108,3,30,1,2,-40,85,45,25
LR7-72HTHF,119,52.27,14.74,44.03,13.75,605,1500,-0.0023,-0.0028,0.05,28.5,30,1134,1,23.82,22.4,144,3,30,1,2,-40,85,45,25
LR7-72HTHF,120,52.42,14.8,44.18,13.81,615,1500,-0.0023,-0.0028,0.05,28.5,30,1134,1,23.82,22.6,144,3,30,1,2,-40,85,45,25
LR7-72HTHF,121,52.57,14.87,44.33,13.88,610,1500,-0.0023,-0.0028,0.05,28.5,30,1134,1,23.82,22.8,144,3,30,1,2,-40,85,45,25
LR7-72HTHF,122,52.72,14.93,44.48,13.94,620,1500,-0.0023,-0.0028,0.05,28.5,30,1134,1,23.82,23,144,3,30,1,2,-40,85,45,25
LR7-72HTHF,123,52.87,15.01,44.63,14.01,625,1500,-0.0023,-0.0028,0.05,28.5,30,1134,1,23.82,23.1,144,3,30,1,2,-40,85,45,25
LR7-72HTHF,124,53.02,15.07,44.78,14.07,630,1500,-0.0023,-0.0028,0.05,28.5,30,1134,1,23.82,25,144,3,30,1,2,-40,85,45,25
LR7-54HVH,125,40.18,15.03,33.18,14.33,475,1500,-0.002,-0.0026,0.05,21.6,30,1134,1,18,23.3,108,3,30,1,2,-40,85,45,25
LR7-54HVH,126,40.29,15.13,33.28,14.43,480,1500,-0.002,-0.0026,0.05,21.6,30,1134,1,18,23.5,108,3,30,1,2,-40,85,45,25
LR7-54HVH,127,40.4,15.23,33.4,14.53,485,1500,-0.002,-0.0026,0.05,21.6,30,1134,1,18,23.8,108,3,30,1,2,-40,85,45,25
LR7-54HVH,128,40.64,15.33,33.51,14.63,490,1500,-0.002,-0.0026,0.05,21.6,30,1134,1,18,24,108,3,30,1,2,-40,85,45,25
LR7-60HVHL,130,44.78,15.15,37.01,14.46,535,1500,-0.002,-0.0026,0.05,16.3,30,1134,1,19.9,23.7,120,3,30,1,2,-40,85,45,25
LR7-60HVHL,131,44.88,15.25,37.11,14.55,540,1500,-0.002,-0.0026,0.05,16.3,30,1134,1,19.9,23.9,120,3,30,1,2,-40,85,45,25
LR7-60HVHL,132,44.98,15.35,37.21,14.65,545,1500,-0.002,-0.0026,0.05,16.3,30,1134,1,19.9,24.2,120,3,30,1,2,-40,85,45,25
LR7-60HVHL,133,45.08,15.45,37.31,14.74,550,1500,-0.002,-0.0026,0.05,16.3,30,1134,1,19.9,24.4,120,3,30,1,2,-40,85,45,25
LR7-60HVHL,134,45.18,15.55,37.41,14.84,555,1500,-0.002,-0.0026,0.05,16.3,30,1134,1,19.9,24.6,120,3,30,1,2,-40,85,45,25
LR7-60HVHL,135,45.28,15.65,37.51,14.93,560,1500,-0.002,-0.0026,0.05,16.3,30,1134,1,19.9,24.8,120,3,30,1,2,-40,85,45,25
LR7-72HVH,136,53.7,15.13,44.36,14.43,640,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,23.7,144,3,30,1,2,-40,85,45,25
LR7-72HVH,137,53.8,15.21,44.46,14.51,645,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,23.9,144,3,30,1,2,-40,85,45,25
LR7-72HVH,138,53.9,15.29,44.56,14.59,650,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.1,144,3,30,1,2,-40,85,45,25
LR7-72HVH,139,54,15.37,44.66,14.67,655,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.2,144,3,30,1,2,-40,85,45,25
LR7-72HVH,140,54.1,15.45,44.76,14.75,660,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.4,144,3,30,1,2,-40,85,45,25
LR7-72HVH,141,54.2,15.52,44.86,14.83,665,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.6,144,3,30,1,2,-40,85,45,25
LR7-72HVH,142,54.3,15.6,44.96,14.91,670,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.8,144,3,30,1,2,-40,85,45,25
LR7-72HVDF,143,54.02,14.98,44.67,14.33,640,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,23.7,144,3,30,1,2,-40,85,45,25
LR7-72HVDF,144,54.12,15.06,44.77,14.41,645,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,23.9,144,3,30,1,2,-40,85,45,25
LR7-72HVDF,145,54.22,15.14,44.87,14.49,650,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,24.1,144,3,30,1,2,-40,85,45,25
LR7-72HVDF,146,54.32,15.22,44.97,14.57,655,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,24.2,144,3,30,1,2,-40,85,45,25
LR7-72HVDF,147,54.42,15.3,45.07,14.65,660,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,24.4,144,3,30,1,2,-40,85,45,25
LR7-72HVDF,148,54.52,15.35,45.17,14.72,665,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,24.6,144,3,30,1,2,-40,85,45,25
LR7-72HVHF,149,53.7,15.13,44.36,14.43,640,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,23.7,144,3,30,1,2,-40,85,45,25
LR7-72HVHF,150,53.8,15.21,44.46,14.51,645,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,23.9,144,3,30,1,2,-40,85,45,25
LR7-72HVHF,151,53.9,15.29,44.56,14.59,650,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.1,144,3,30,1,2,-40,85,45,25
LR7-72HVHF,152,54,15.37,44.66,14.67,655,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.2,144,3,30,1,2,-40,85,45,25
LR7-72HVHF,153,54.1,15.45,44.76,14.75,660,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.4,144,3,30,1,2,-40,85,45,25
LR7-72HVHF,154,54.2,15.52,44.86,14.83,665,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,24.6,144,3,30,1,2,-40,85,45,25
LR7-72HVHF,155,54.3,15.6,44.96,14.91,670,1500,-0.002,-0.0026,0.05,28.5,30,1134,1,23.82,27.4,144,3,30,1,2,-40,85,45,25
LR7-72HGD,156,52.23,14.45,43.79,13.59,595,1500,-0.0023,-0.0026,0.045,33.5,30,1134,1,23.82,22,144,3,30,1,2,-40,85,45,30
LR7-72HGD,157,52.34,14.53,43.9,13.67,600,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22.2,144,3,30,1,2,-40,85,45,30
LR7-72HGD,158,52.44,14.61,44,13.75,605,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22.4,144,3,30,1,2,-40,85,45,30
LR7-72HGD,159,52.55,14.69,44.11,13.83,610,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22.6,144,3,30,1,2,-40,85,45,30
LR7-72HGD,160,52.66,14.77,44.22,13.91,615,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22.8,144,3,30,1,2,-40,85,45,30
LR7-72HGD,161,52.77,14.85,44.33,13.99,620,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,23,144,3,30,1,2,-40,85,45,30
LR7-72HGD,162,52.88,14.93,44.44,14.07,625,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,23.1,144,3,30,1,2,-40,85,45,30
LR8-66HGD,163,47.78,15.8,39.91,14.91,595,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22,132,3,30,1,2,-40,85,45,35
LR8-66HGD,164,47.98,15.85,40.11,14.96,600,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22.2,132,3,30,1,2,-40,85,45,35
LR8-66HGD,165,48.18,15.9,40.31,15.01,605,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22.4,132,3,30,1,2,-40,85,45,35
LR8-66HGD,166,48.38,15.95,40.51,15.06,610,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22.6,132,3,30,1,2,-40,85,45,35
LR8-66HGD,167,48.58,16,40.71,15.11,615,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,22.8,132,3,30,1,2,-40,85,45,35
LR8-66HGD,168,48.78,16.05,40.91,15.16,620,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,23,132,3,30,1,2,-40,85,45,35
LR8-66HGD,169,48.98,16.1,41.11,15.21,625,1500,-0.0023,-0.0028,0.045,33.5,30,1134,1,23.82,23.1,132,3,30,1,2,-40,85,45,35
LR7-72HVD,175,54.02,14.98,44.67,14.33,640,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,23.7,144,3,30,1,2,-40,85,45,30
LR7-72HVD,176,54.12,15.06,44.77,14.41,645,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,23.9,144,3,30,1,2,-40,85,45,30
LR7-72HVD,177,54.22,15.14,44.87,14.49,650,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,24.1,144,3,30,1,2,-40,85,45,30
LR7-72HVD,178,54.32,15.22,44.97,14.57,655,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,24.2,144,3,30,1,2,-40,85,45,30
LR7-72HVD,179,54.42,15.3,45.07,14.65,660,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,24.4,144,3,30,1,2,-40,85,45,30
LR7-72HVD,180,54.52,15.35,45.17,14.72,665,1500,-0.002,-0.0026,0.05,33.5,30,1134,1,23.82,24.6,144,3,30,1,2,-40,85,45,30
LR7-54HTH,181,39.15,14.79,32.98,13.8,455,1500,-0.0023,-0.0028,0.05,21.6,30,1134,1,18,22.3,108,3,25,1,2,-40,85,45,25
LR7-54HTH,182,39.35,14.86,33.19,13.86,460,1500,-0.0023,-0.0028,0.05,21.6,30,1134,1,18,22.5,108,3,25,1,2,-40,85,45,25
LR7-54HTH,183,39.55,14.93,33.39,13.93,465,1500,-0.0023,-0.0028,0.05,21.6,30,1134,1,18,22.8,108,3,25,1,2,-40,85,45,25
LR5-72HBD,184,49.5,13.85,41.65,12.97,540,1500,-0.00265,-0.0034,0.05,31.8,30,1134,1,22.78,20.9,144,3,30,1,2,-40,85,45,30
LR5-72HBD,185,49.65,13.92,41.8,13.04,545,1500,-0.00265,-0.0034,0.05,31.8,30,1134,1,22.78,21.1,144,3,30,1,2,-40,85,45,30
LR5-72HBD,186,49.8,13.99,41.95,13.12,550,1500,-0.00265,-0.0034,0.05,31.8,30,1134,1,22.78,21.3,144,3,30,1,2,-40,85,45,30
LR5-72HBD,187,49.95,14.05,42.1,13.19,555,1500,-0.00265,-0.0034,0.05,31.8,30,1134,1,22.78,21.5,144,3,30,1,2,-40,85,45,30
LR5-72HBD,188,50.1,14.1,42.25,13.26,560,1500,-0.00265,-0.0034,0.05,31.8,30,1134,1,22.78,21.7,144,3,30,1,2,-40,85,45,30
NEG19R.20,189,40.5,14.94,48.7,15.83,605,1500,-0.0024,-0.0029,0.04,30,30,1134,1,23.82,23.1,132,5,30,1,7,-40,70,43,35
NEG19R.20,190,40.8,14.96,49,15.86,610,1500,-0.0024,-0.0029,0.04,30,30,1134,1,23.82,23.1,132,5,30,1,7,-40,70,43,35
NEG19R.20,191,41.1,14.98,49.3,15.89,615,1500,-0.0024,-0.0029,0.04,30,30,1134,1,23.82,23.1,132,5,30,1,7,-40,70,43,35
NEG19R.20,192,41.4,14.99,49.6,15.91,620,1500,-0.0024,-0.0029,0.04,30,30,1134,1,23.82,23.1,132,5,30,1,7,-40,70,43,35
NEG19R.20,193,42,15.01,50.2,15.93,630,1500,-0.0024,-0.0029,0.04,30,30,1134,1,23.82,23.3,132,5,30,1,7,-40,70,43,35
NEG19R.20,194,42.3,15.02,50.5,15.94,635,1500,-0.0024,-0.0029,0.04,30,30,1134,1,23.82,23.5,132,5,30,1,7,-40,70,43,35
NEG20C.20,195,43.9,14.05,42.8,14.8,630,1500,-0.0024,-0.0029,0.04,34.9,33,1303,1,21.72,23,120,5,30,1,7,-40,70,43,35
NEG20C.20,196,44.2,14.07,43.1,14.82,640,1500,-0.0024,-0.0029,0.04,34.9,33,1303,1,21.72,23.1,120,5,30,1,7,-40,70,43,35
NEG20C.20,197,44.5,14.1,43.4,14.85,645,1500,-0.0024,-0.0029,0.04,34.9,33,1303,1,21.72,23.2,120,5,30,1,7,-40,70,43,35
NEG20C.20,198,44.8,14.12,43.7,14.88,650,1500,-0.0024,-0.0029,0.04,34.9,33,1303,1,21.72,23.3,120,5,30,1,7,-40,70,43,35
NEG20C.20,199,45.1,14.14,44,14.91,655,1500,-0.0024,-0.0029,0.04,34.9,33,1303,1,21.72,23.4,120,5,30,1,7,-40,70,43,35
NEG21C.20,200,40.5,17.29,48.6,18.32,700,1500,-0.0024,-0.0029,0.04,38.3,33,1303,1,23.84,22.5,132,5,30,1,7,-40,70,43,35
NEG21C.20,201,40.7,17.33,48.8,18.36,705,1500,-0.0024,-0.0029,0.04,38.3,33,1303,1,23.84,22.7,132,5,30,1,7,-40,70,43,35
NEG21C.20,202,40.9,17.36,49,18.4,710,1500,-0.0024,-0.0029,0.04,38.3,33,1303,1,23.84,22.9,132,5,30,1,7,-40,70,43,35
NEG21C.20,203,41.1,17.4,49.2,18.44,715,1500,-0.0024,-0.0029,0.04,38.3,33,1303,1,23.84,23,132,5,30,1,7,-40,70,43,35
NEG21C.20,204,41.3,17.44,49.4,18.49,720,1500,-0.0024,-0.0029,0.04,38.3,33,1303,1,23.84,23.2,132,5,30,1,7,-40,70,43,35
NEG21C.20,205,41.5,17.47,49.6,18.54,725,1500,-0.0024,-0.0029,0.04,38.3,33,1303,1,23.84,23.3,132,5,30,1,7,-40,70,43,35
NE19R,206,40.3,14.91,48.4,15.8,600,1500,-0.0024,-0.0029,0.04,27.9,30,1134,1,23.82,22.2,132,5,25,1,7,-40,85,43,30
NE19R,207,40.5,14.94,48.7,15.83,605,1500,-0.0024,-0.0029,0.04,27.9,30,1134,1,23.82,22.4,132,5,25,1,7,-40,85,43,30
NE19R,208,40.8,14.96,49,15.86,610,1500,-0.0024,-0.0029,0.04,27.9,30,1134,1,23.82,22.6,132,5,25,1,7,-40,85,43,30
NE19R,209,41.1,14.98,49.3,15.89,615,1500,-0.0024,-0.0029,0.04,27.9,30,1134,1,23.82,22.8,132,5,25,1,7,-40,85,43,30
NE19R,210,41.4,14.99,49.6,15.91,620,1500,-0.0024,-0.0029,0.04,27.9,30,1134,1,23.82,23,132,5,25,1,7,-40,85,43,30
NE19R,211,41.6,15,49.8,15.93,625,1500,-0.0024,-0.0029,0.04,27.9,30,1134,1,23.82,23.1,132,5,25,1,7,-40,85,43,30
NE19R,212,42,15.01,50.3,15.94,630,1500,-0.0024,-0.0029,0.04,27.9,30,1134,1,23.82,23.3,132,5,25,1,7,-40,85,43,30
NEG19RC.20,213,39.79,15.33,48.09,16.14,610,1500,-0.0024,-0.0029,0.04,33,30,1134,1,23.82,22.6,132,5,30,1,7,-40,70,43,35
NEG19RC.20,214,39.97,15.39,48.29,16.2,615,1500,-0.0024,-0.0029,0.04,33,30,1134,1,23.82,22.8,132,5,30,1,7,-40,70,43,35
NEG19RC.20,215,40.24,15.41,48.5,16.26,620,1500,-0.0024,-0.0029,0.04,33,30,1134,1,23.82,23,132,5,30,1,7,-40,70,43,35
NEG19RC.20,216,40.46,15.45,48.7,16.32,625,1500,-0.0024,-0.0029,0.04,33,30,1134,1,23.82,23.1,132,5,30,1,7,-40,70,43,35
NEG19RC.20,217,40.68,15.49,48.9,16.38,630,1500,-0.0024,-0.0029,0.04,33,30,1134,1,23.82,23.3,132,5,30,1,7,-40,70,43,35
NEG19RC.20,218,40.84,15.55,49.1,16.44,635,1500,-0.0024,-0.0029,0.04,33,30,1134,1,23.82,23.5,132,5,30,1,7,-40,70,43,35
NED19RC.20,219,39.79,15.33,48.09,16.14,610,1500,-0.0024,-0.0029,0.04,39.7,30,1134,1,23.82,22.6,132,5,30,1,7,-40,70,43,35
NED19RC.20,220,39.97,15.39,48.29,16.2,615,1500,-0.0024,-0.0029,0.04,39.7,30,1134,1,23.82,22.8,132,5,30,1,7,-40,70,43,35
NED19RC.20,221,40.24,15.41,48.5,16.26,620,1500,-0.0024,-0.0029,0.04,39.7,30,1134,1,23.82,23,132,5,30,1,7,-40,70,43,35
NED19RC.20,222,40.46,15.45,48.7,16.32,625,1500,-0.0024,-0.0029,0.04,39.7,30,1134,1,23.82,23.1,132,5,30,1,7,-40,70,43,35
NED19RC.20,223,40.68,15.49,48.9,16.38,630,1500,-0.0024,-0.0029,0.04,39.7,30,1134,1,23.82,23.3,132,5,30,1,7,-40,70,43,35
NED19RC.20,224,40.84,15.55,49.1,16.44,635,1500,-0.0024,-0.0029,0.04,39.7,30,1134,1,23.82,23.5,132,5,30,1,7,-40,70,43,35
Hyper-ion 132 HJT Bifacial Module,225,50,18,42,17,700,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23,132,3,30,1,7,-40,43,35,85
Hyper-ion 132 HJT Bifacial Module,226,50.08,18.1,42.06,17.1,705,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.1,132,3,30,1,7,-40,43,35,85
Hyper-ion 132 HJT Bifacial Module,227,50.16,18.2,42.12,17.2,710,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.2,132,3,30,1,7,-40,43,35,85
Hyper-ion 132 HJT Bifacial Module,228,50.24,18.3,42.18,17.3,715,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.3,132,3,30,1,7,-40,43,35,85
Hyper-ion 132 HJT Bifacial Module,229,50.32,18.4,42.24,17.4,720,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.4,132,3,30,1,7,-40,43,35,85
Hyper-ion 132 HJT Bifacial Module,230,50.4,18.5,42.3,17.5,725,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.5,132,3,30,1,7,-40,43,35,85
Pro_HSA_RSM132-8-720-745BHDG,231,50,18,42,17,720,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.2,132,3,30,1,7,-40,43,35,85
Pro_HSA_RSM132-8-720-745BHDG,232,50.08,18.1,42.06,17.1,725,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.3,132,3,30,1,7,-40,43,35,85
Pro_HSA_RSM132-8-720-745BHDG,233,50.16,18.2,42.12,17.2,730,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.5,132,3,30,1,7,-40,43,35,85
Pro_HSA_RSM132-8-720-745BHDG,234,50.24,18.3,42.18,17.3,735,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.7,132,3,30,1,7,-40,43,35,85
Pro_HSA_RSM132-8-720-745BHDG,235,50.32,18.4,42.24,17.4,740,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,23.8,132,3,30,1,7,-40,43,35,85
Pro_HSA_RSM132-8-720-745BHDG,236,50.4,18.5,42.3,17.5,745,1500,-0.0022,-0.0024,0.047,40,35,1303,1,23.84,24,132,3,30,1,7,-40,43,35,85
